Baby,Justin Bieber,My World 2.0,2010,214,Pop
What Makes You Beautiful,One Direction,Up All Night,2011,199,Pop
Love Story,Taylor Swift,Fearless,2008,236,Country Pop
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,2010,220,Pop
You Belong With Me,Taylor Swift,Fearless,2008,232,Country Pop
Last Friday Night (T.G.I.F.),Katy Perry,Teenage Dream,2010,230,Pop
Umbrella,Rihanna feat. JAY-Z,Good Girl Gone Bad,2007,275,RnB
Starships,Nicki Minaj,Pink Friday: Roman Reloaded,2012,210,Dance Pop
Firework,Katy Perry,Teenage Dream,2010,227,Pop
Work from Home,Fifth Harmony feat. Ty Dolla $ign,7/27 (Deluxe),2016,214,Pop
Scars To Your Beautiful,Alessia Cara,Know-It-All,2015,230,Pop
Reminder,The Weeknd,Starboy,2016,218,RnB
Love Yourself,Justin Bieber,Purpose (Deluxe),2015,233,Pop
Dark Horse,Katy Perry feat. Juicy J,PRISM,2013,215,Trap Pop
What Do You Mean?,Justin Bieber,Purpose (Deluxe),2015,205,Pop
Call Me Maybe,Carly Rae Jepsen,Kiss (Deluxe),2012,193,Pop
Party In The U.S.A.,Miley Cyrus,The Time of Our Lives,2009,202,Pop
California Gurls,Katy Perry feat. Snoop Dogg,Teenage Dream,2010,234,Pop
CAN'T STOP THE FEELING!,Justin Timberlake,Trolls: Original Motion Picture Soundtrack,2016,236,Pop
That's What I Like,Bruno Mars,24K Magic,2016,206,RnB
If I Can't Have You,Shawn Mendes,Shawn Mendes (Deluxe),2019,191,Pop
no tears left to cry,Ariana Grande,Sweetener,2018,205,Pop
Birthday,Katy Perry,PRISM,2013,215,Pop
I Don't Care,Ed Sheeran & Justin Bieber,No.6 Collaborations Project,2019,219,Pop
Memories,Maroon 5,JORDI (Deluxe),2021,189,Pop
Beautiful People,Ed Sheeran feat. Khalid,No.6 Collaborations Project,2019,197,Pop
Nobody's Business,Rihanna feat. Chris Brown,Unapologetic (Deluxe),2012,216,RnB
Obsessed,Mariah Carey,Memoirs of an Imperfect Angel,2009,242,RnB
Wide Awake,Katy Perry,Teenage Dream: The Complete Confection,2012,220,Pop
